Date,Time,MQ135_value,lm35_temperature,DHT11_temperature,dht11_humidity,Sound_value,rain_value
31/12/1969,16:00:58,0,31.28,28.3,25,1005,2
31/12/1969,16:00:59,0,32.75,28.3,25,41,0
31/12/1969,16:00:57,0,32.26,28.4,25,40,0
31/12/1969,16:00:58,0,31.28,28.3,25,1005,2
31/12/1969,16:00:59,0,32.75,28.3,25,41,0
31/12/1969,16:01:00,0,28.84,28.1,25,40,0
31/12/1969,16:01:01,0,31.28,28.1,25,38,0
31/12/1969,16:01:02,0,31.28,28.1,25,39,0
31/12/1969,16:01:03,0,33.24,28.1,25,40,0
31/12/1969,16:01:04,0,31.28,28,25,41,0
31/12/1969,16:01:05,0,31.28,28,25,1008,0
31/12/1969,16:01:06,0,31.28,28,25,40,0
31/12/1969,16:01:07,0,31.77,28,25,1009,0
31/12/1969,16:01:08,0,31.28,28,25,39,0
31/12/1969,16:01:09,0,31.28,28,25,40,0
31/12/1969,16:01:11,0,31.28,28,25,40,0
31/12/1969,16:01:12,0,31.28,28,25,41,0
31/12/1969,16:01:13,0,31.28,28,25,1009,0
31/12/1969,16:01:14,0,30.79,28,25,40,0
31/12/1969,16:01:15,0,30.79,28,25,39,0
31/12/1969,16:01:16,0,32.75,28,25,1008,1
31/12/1969,16:01:17,0,31.28,28,25,40,0
31/12/1969,16:01:18,0,33.72,28,25,1006,1
31/12/1969,16:01:19,0,31.28,28,25,39,0
31/12/1969,16:01:20,0,31.28,28,25,1009,0
31/12/1969,16:01:21,0,30.3,28,25,40,0
31/12/1969,16:01:22,0,32.26,28,25,40,0
31/12/1969,16:01:23,0,32.26,28,25,1008,0
31/12/1969,16:01:24,0,30.79,28,25,39,0
31/12/1969,16:01:25,0,31.28,28,25,39,0
31/12/1969,16:01:26,0,30.79,28,25,39,0
31/12/1969,16:01:27,0,31.77,28,25,40,0
31/12/1969,16:01:28,0,31.28,28,25,38,0
31/12/1969,16:01:29,0,33.24,28,25,1008,0
31/12/1969,16:01:30,0,31.28,28,25,40,0
31/12/1969,16:01:31,0,31.77,28,25,1004,2
31/12/1969,16:01:32,0,34.21,28,25,40,0
31/12/1969,16:01:33,0,31.28,28,25,40,0
31/12/1969,16:01:34,0,32.75,28,25,1008,0
31/12/1969,16:01:35,0,31.28,28,25,40,0
31/12/1969,16:01:36,0,32.26,28,25,1006,2
31/12/1969,16:01:37,0,31.28,28,25,40,0
31/12/1969,16:01:38,0,31.28,28,25,40,0
31/12/1969,16:01:39,0,31.28,28,25,40,0
31/12/1969,16:01:40,0,31.77,28,25,1005,2
31/12/1969,16:01:41,0,31.28,28,25,43,0
31/12/1969,16:01:42,0,30.3,28,25,38,0
31/12/1969,16:01:43,0,31.77,28,25,40,0
31/12/1969,16:01:44,0,31.77,28,25,40,0
31/12/1969,16:01:45,0,33.24,28,25,41,0
31/12/1969,16:01:46,0,32.26,28,25,40,0
31/12/1969,16:01:47,0,31.77,28,25,1006,1
31/12/1969,16:01:48,0,31.28,28,25,41,0
31/12/1969,16:01:49,0,30.3,28,25,38,0
31/12/1969,16:01:50,0,31.28,28,25,39,0
31/12/1969,16:01:51,0,30.3,28,25,39,0
31/12/1969,16:01:52,0,31.77,28,25,1005,2
31/12/1969,16:01:53,0,31.77,28,25,1008,0
31/12/1969,16:01:54,0,31.28,28,25,40,0
31/12/1969,16:01:55,0,31.28,28,25,41,0
31/12/1969,16:01:56,0,32.75,28,25,40,0
31/12/1969,16:01:57,0,31.28,28,25,40,0
31/12/1969,16:01:58,0,31.77,28,25,40,0
31/12/1969,16:01:59,0,33.72,28,25,41,1
31/12/1969,16:02:00,0,30.79,28,25,39,0
31/12/1969,16:02:01,0,31.28,28,25,40,0
31/12/1969,16:02:54,0,29.81,28,25,37,0
31/12/1969,16:02:55,0,29.81,28,25,39,0
31/12/1969,16:00:00,0,32.75,28,25,40,0
31/12/1969,16:00:01,0,31.77,28,25,1007,0
31/12/1969,16:00:02,0,30.79,28,25,38,0
31/12/1969,16:00:03,0,32.75,28,25,40,0
31/12/1969,16:00:04,0,31.28,28,25,40,0
31/12/1969,16:00:05,0,30.79,28,25,1008,0
31/12/1969,16:00:06,0,31.28,28,24,40,0
31/12/1969,16:00:07,0,32.75,28,24,40,0
31/12/1969,16:00:08,0,31.28,28,24,38,0
31/12/1969,16:00:09,0,31.28,28,24,38,0
31/12/1969,16:00:10,0,31.28,28,24,43,0
31/12/1969,16:00:11,0,31.28,28,24,40,0
31/12/1969,16:00:12,0,32.26,28,24,45,1
31/12/1969,16:00:13,0,31.28,28,24,1006,0
31/12/1969,16:00:14,0,33.72,28,24,42,0
31/12/1969,16:00:15,0,31.28,28,24,39,0
31/12/1969,16:00:16,0,31.28,28,24,40,0
31/12/1969,16:00:17,0,31.77,28,24,41,0
31/12/1969,16:00:18,0,33.72,28,24,1005,1
31/12/1969,16:00:19,0,32.26,28,24,1004,2
31/12/1969,16:00:20,0,31.77,28,24,1004,2
31/12/1969,16:01:42,0,31.28,28,24,40,0
31/12/1969,16:01:43,0,31.28,28,24,37,0
31/12/1969,16:00:00,0,31.28,28,24,39,0
31/12/1969,16:00:01,0,30.79,28,24,38,0
31/12/1969,16:00:02,0,31.28,28,24,40,0
31/12/1969,16:00:03,0,31.77,28,24,1005,0
31/12/1969,16:00:04,0,31.28,28,23,1008,0
31/12/1969,16:00:05,0,31.28,28,23,39,0
31/12/1969,16:00:06,0,31.28,28,24,39,0
31/12/1969,16:00:07,0,31.28,28,24,42,0
31/12/1969,16:00:08,0,30.79,28,24,40,0
31/12/1969,16:00:09,0,30.79,28,24,38,0
31/12/1969,16:00:10,0,31.28,28,24,1007,2
31/12/1969,16:00:11,0,31.28,28,24,41,0
31/12/1969,16:00:12,0,32.75,28,24,41,0
31/12/1969,16:00:13,0,30.79,28,24,39,0
31/12/1969,16:00:14,0,31.28,28,24,40,0
31/12/1969,16:00:15,0,31.28,28,24,40,0
31/12/1969,16:00:16,0,31.28,28,24,1005,1
31/12/1969,16:00:17,0,30.79,28,24,39,0
31/12/1969,16:00:18,0,31.28,28,24,40,0
31/12/1969,16:00:19,0,30.3,28,24,40,0
31/12/1969,16:00:20,0,30.3,28,24,42,0
31/12/1969,16:00:21,0,31.28,28,24,43,0
31/12/1969,16:00:22,0,30.3,28,24,1008,0
31/12/1969,16:00:23,0,31.28,28,24,39,0
31/12/1969,16:00:24,0,31.77,28,24,1008,0
31/12/1969,16:00:25,0,30.79,28,24,39,0
31/12/1969,16:00:26,0,30.79,28,24,1008,0
31/12/1969,16:00:27,0,29.81,28,24,39,0
31/12/1969,16:00:28,0,30.79,28,24,40,0
31/12/1969,16:00:29,0,30.3,28,24,39,0
31/12/1969,16:00:30,0,31.28,28,24,1006,2
31/12/1969,16:00:31,0,30.79,28,24,39,0
31/12/1969,16:00:32,0,30.79,28,24,40,0
31/12/1969,16:00:33,0,30.79,28,24,40,0
31/12/1969,16:00:34,0,31.28,28,24,39,0
31/12/1969,16:00:35,0,29.81,28,24,38,0
31/12/1969,16:00:36,0,31.28,28,24,40,0
31/12/1969,16:00:37,0,32.26,28,24,43,1
31/12/1969,16:00:38,0,30.79,28,24,40,0
31/12/1969,16:00:39,0,30.3,28,24,39,0
31/12/1969,16:00:40,0,30.79,28,24,40,0
31/12/1969,16:00:41,0,30.3,28,24,39,0
31/12/1969,16:00:42,0,32.75,28,24,41,0
31/12/1969,16:00:43,0,31.28,28,24,1008,0
31/12/1969,16:00:44,0,31.28,28,24,1008,0
31/12/1969,16:00:45,0,31.28,28,24,40,0
31/12/1969,16:00:46,0,31.77,28,24,40,0
31/12/1969,16:00:47,0,31.77,28,24,40,0
31/12/1969,16:00:48,0,31.28,28,24,40,0
31/12/1969,16:00:49,0,31.28,28,24,40,0
31/12/1969,16:00:50,0,31.28,28,24,38,0
31/12/1969,16:00:51,0,31.28,28,24,1010,0
31/12/1969,16:00:52,0,31.28,28,24,40,0
31/12/1969,16:00:53,0,30.79,28,24,40,0
31/12/1969,16:00:54,0,31.77,28,24,1005,1
31/12/1969,16:00:55,0,30.79,28,24,40,0
31/12/1969,16:00:56,0,30.79,28,24,40,0
31/12/1969,16:00:57,0,32.75,28,24,41,0
31/12/1969,16:00:58,0,31.28,28,24,40,0
31/12/1969,16:00:59,0,31.28,28,24,40,0
31/12/1969,16:01:00,0,32.26,28,24,1008,1
31/12/1969,16:01:01,0,31.28,28,24,39,0
31/12/1969,16:01:02,0,30.79,28,24,40,0
31/12/1969,16:01:03,0,32.75,28,24,41,0
31/12/1969,16:01:04,0,31.28,28,24,39,0
31/12/1969,16:01:05,0,31.28,28,24,1011,0
31/12/1969,16:01:06,0,31.28,28,24,40,0
31/12/1969,16:01:07,0,31.28,28,24,1006,0
31/12/1969,16:01:08,0,31.28,28,24,40,0
31/12/1969,16:01:09,0,31.28,28,24,40,0
31/12/1969,16:01:11,0,31.77,28,24,40,0
31/12/1969,16:01:12,0,30.79,28,24,1005,0
31/12/1969,16:01:13,0,33.72,28,24,42,1
31/12/1969,16:01:14,0,30.79,28,24,40,0
31/12/1969,16:01:15,0,30.3,28,24,40,0
31/12/1969,16:01:16,0,30.3,28,24,40,0
31/12/1969,16:01:17,0,33.72,28,23,42,0
31/12/1969,16:01:18,0,30.79,28,23,39,0
31/12/1969,16:01:19,0,31.28,28,24,40,0
31/12/1969,16:01:20,0,31.28,28,24,1008,0
31/12/1969,16:01:21,0,30.79,28,24,40,0
31/12/1969,16:01:22,0,30.3,28,24,40,0
31/12/1969,16:01:23,0,31.28,28,23,40,0
31/12/1969,16:01:24,0,30.79,28,23,40,0
31/12/1969,16:01:25,0,31.28,28,23,1008,0
31/12/1969,16:01:26,0,31.77,28,23,1005,2
31/12/1969,16:01:27,0,31.77,28,24,1008,0
31/12/1969,16:01:28,0,30.3,28,24,1005,2
31/12/1969,16:01:29,0,30.79,28,23,39,0
31/12/1969,16:01:30,0,30.3,28,23,39,0
31/12/1969,16:01:31,0,31.28,28,23,40,0
31/12/1969,16:01:32,0,30.79,28,23,40,0
31/12/1969,16:01:33,0,31.28,28,23,40,0
31/12/1969,16:01:34,0,30.3,28,23,40,0
31/12/1969,16:01:35,0,31.28,28,23,1005,1
31/12/1969,16:01:36,0,30.3,28,23,41,0
31/12/1969,16:01:37,0,30.3,28,24,39,0
31/12/1969,16:01:38,0,31.77,28,24,1004,0
